from etherscan.io
unix,date,symbol,open,high,low,close,Volume USD,Volume GNO
1692541511,---,---,92899355.9269241345,92899355.9269241345,92899355.9269241345,92899355.9269241345
1627250182,---,---,22495725,22495725,22495725,22495725
1618581723,---,---,5634804,5634804,5634804,5634804
