https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USD
1707778800000,2024-02-12 23:00:00,ZRX/USD,0.32708,0.32882,0.32708,0.32882,170.709309,56.132634985379994
1707775200000,2024-02-12 22:00:00,ZRX/USD,0.32639,0.32708,0.32639,0.32708,1653.109196,540.69895582768
1707771600000,2024-02-12 21:00:00,ZRX/USD,0.32642,0.32703,0.32639,0.32639,1570.769342,512.6834055353801
1707768000000,2024-02-12 20:00:00,ZRX/USD,0.32536,0.32686,0.32536,0.32642,1429.636462,466.66193392604
1707764400000,2024-02-12 19:00:00,ZRX/USD,0.32401,0.32536,0.32401,0.32536,414.867669,134.98134478583998
1707760800000,2024-02-12 18:00:00,ZRX/USD,0.32526,0.32526,0.32401,0.32401,10.821385,3.5062369538500002
1707757200000,2024-02-12 17:00:00,ZRX/USD,0.32256,0.32578,0.32256,0.32526,1608.800583,523.27847762658
1707753600000,2024-02-12 16:00:00,ZRX/USD,0.32201,0.32256,0.32201,0.32256,2506.200259,808.39995554304
1707750000000,2024-02-12 15:00:00,ZRX/USD,0.31829,0.32201,0.31829,0.32201,197.449743,63.580791743430005
1707746400000,2024-02-12 14:00:00,ZRX/USD,0.31444,0.31829,0.31444,0.31829,45.870629,14.600162504410001
1707742800000,2024-02-12 13:00:00,ZRX/USD,0.31286,0.31444,0.31286,0.31444,10.0,3.1444
1707739200000,2024-02-12 12:00:00,ZRX/USD,0.31286,0.31286,0.31286,0.31286,0.0,0.0
1707735600000,2024-02-12 11:00:00,ZRX/USD,0.31444,0.31444,0.31286,0.31286,171.391053,53.62140484158
1707732000000,2024-02-12 10:00:00,ZRX/USD,0.31444,0.31444,0.31444,0.31444,0.0,0.0
1707728400000,2024-02-12 09:00:00,ZRX/USD,0.31666,0.31666,0.31444,0.31444,8.246289,2.59296311316
1707724800000,2024-02-12 08:00:00,ZRX/USD,0.31666,0.31666,0.31666,0.31666,0.0,0.0
1707721200000,2024-02-12 07:00:00,ZRX/USD,0.31666,0.31666,0.31666,0.31666,0.0,0.0
1707717600000,2024-02-12 06:00:00,ZRX/USD,0.31666,0.31666,0.31666,0.31666,0.0,0.0
1707714000000,2024-02-12 05:00:00,ZRX/USD,0.31666,0.31666,0.31666,0.31666,0.0,0.0
1707710400000,2024-02-12 04:00:00,ZRX/USD,0.31666,0.31666,0.31666,0.31666,0.0,0.0
1707706800000,2024-02-12 03:00:00,ZRX/USD,0.31666,0.31666,0.31666,0.31666,0.0,0.0
1707703200000,2024-02-12 02:00:00,ZRX/USD,0.32116,0.32116,0.31609,0.31666,516.995049,163.71165221633998
1707699600000,2024-02-12 01:00:00,ZRX/USD,0.31717,0.32116,0.31717,0.32116,215.166685,69.1029325546
1707696000000,2024-02-12 00:00:00,ZRX/USD,0.31717,0.31717,0.31717,0.31717,0.0,0.0
1707692400000,2024-02-11 23:00:00,ZRX/USD,0.31717,0.31717,0.31717,0.31717,0.0,0.0
1707688800000,2024-02-11 22:00:00,ZRX/USD,0.31717,0.31717,0.31717,0.31717,0.0,0.0
1707685200000,2024-02-11 21:00:00,ZRX/USD,0.31694,0.31717,0.31694,0.31717,50.446133,16.00000000361
1707681600000,2024-02-11 20:00:00,ZRX/USD,0.31931,0.31931,0.31694,0.31694,49.032603,15.54039319482
1707678000000,2024-02-11 19:00:00,ZRX/USD,0.3219,0.3219,0.31931,0.31931,13167.434021,4204.493357245509
1707674400000,2024-02-11 18:00:00,ZRX/USD,0.32365,0.32365,0.3219,0.3219,9.319665,3.0000001635
1707670800000,2024-02-11 17:00:00,ZRX/USD,0.3257,0.3257,0.32365,0.32365,27.700064,8.9651257136
1707667200000,2024-02-11 16:00:00,ZRX/USD,0.32065,0.3257,0.32065,0.3257,6.140592,1.9999908143999998
1707663600000,2024-02-11 15:00:00,ZRX/USD,0.32065,0.32065,0.32065,0.32065,0.0,0.0
1707660000000,2024-02-11 14:00:00,ZRX/USD,0.32153,0.32578,0.32065,0.32065,54.268888,17.4013189372
1707656400000,2024-02-11 13:00:00,ZRX/USD,0.32153,0.32153,0.32153,0.32153,0.0,0.0
1707652800000,2024-02-11 12:00:00,ZRX/USD,0.32153,0.32153,0.32153,0.32153,0.0,0.0
1707649200000,2024-02-11 11:00:00,ZRX/USD,0.32153,0.32153,0.32153,0.32153,0.0,0.0
1707645600000,2024-02-11 10:00:00,ZRX/USD,0.32153,0.32153,0.32153,0.32153,0.0,0.0
1707642000000,2024-02-11 09:00:00,ZRX/USD,0.32252,0.32252,0.32153,0.32153,966.349904,310.71048463312
1707638400000,2024-02-11 08:00:00,ZRX/USD,0.32065,0.32252,0.32065,0.32252,3821.676381,1232.56706640012
1707634800000,2024-02-11 07:00:00,ZRX/USD,0.32065,0.32065,0.32065,0.32065,0.0,0.0
1707631200000,2024-02-11 06:00:00,ZRX/USD,0.32065,0.32065,0.32065,0.32065,0.0,0.0
1707627600000,2024-02-11 05:00:00,ZRX/USD,0.32065,0.32065,0.32065,0.32065,0.0,0.0
1707624000000,2024-02-11 04:00:00,ZRX/USD,0.32008,0.32609,0.32008,0.32065,17816.613924,5712.8972547306
1707620400000,2024-02-11 03:00:00,ZRX/USD,0.32008,0.32008,0.32008,0.32008,0.0,0.0
1707616800000,2024-02-11 02:00:00,ZRX/USD,0.32087,0.32087,0.32008,0.32008,135.56641,43.392096512799995
1707613200000,2024-02-11 01:00:00,ZRX/USD,0.32087,0.32087,0.32087,0.32087,0.0,0.0
1707609600000,2024-02-11 00:00:00,ZRX/USD,0.32087,0.32087,0.32087,0.32087,0.0,0.0
1707606000000,2024-02-10 23:00:00,ZRX/USD,0.32087,0.32087,0.32087,0.32087,0.0,0.0
1707602400000,2024-02-10 22:00:00,ZRX/USD,0.32087,0.32087,0.32087,0.32087,0.0,0.0
1707598800000,2024-02-10 21:00:00,ZRX/USD,0.32087,0.32087,0.32087,0.32087,0.0,0.0
1707595200000,2024-02-10 20:00:00,ZRX/USD,0.32087,0.32087,0.32087,0.32087,0.0,0.0
1707591600000,2024-02-10 19:00:00,ZRX/USD,0.32087,0.32087,0.32087,0.32087,0.0,0.0
1707588000000,2024-02-10 18:00:00,ZRX/USD,0.31955,0.32107,0.31955,0.32087,3765.83685,1208.3440700595
1707584400000,2024-02-10 17:00:00,ZRX/USD,0.31935,0.31955,0.31935,0.31955,298.98801,95.5416185955
1707580800000,2024-02-10 16:00:00,ZRX/USD,0.31781,0.31935,0.31781,0.31935,123.022803,39.287332138050004
1707577200000,2024-02-10 15:00:00,ZRX/USD,0.31781,0.31781,0.31781,0.31781,0.0,0.0
1707573600000,2024-02-10 14:00:00,ZRX/USD,0.31781,0.31781,0.31781,0.31781,0.0,0.0
1707570000000,2024-02-10 13:00:00,ZRX/USD,0.31781,0.31781,0.31781,0.31781,0.0,0.0
1707566400000,2024-02-10 12:00:00,ZRX/USD,0.31781,0.31781,0.31781,0.31781,0.0,0.0
1707562800000,2024-02-10 11:00:00,ZRX/USD,0.31691,0.31781,0.31691,0.31781,50.344546,16.00000016426
1707559200000,2024-02-10 10:00:00,ZRX/USD,0.32,0.32,0.31691,0.31691,49.03856,15.540810049600001
1707555600000,2024-02-10 09:00:00,ZRX/USD,0.32224,0.32224,0.32,0.32,1000.0,320.0
1707552000000,2024-02-10 08:00:00,ZRX/USD,0.32353,0.32353,0.32224,0.32224,1786.31,575.6205344
1707548400000,2024-02-10 07:00:00,ZRX/USD,0.32353,0.32353,0.32353,0.32353,0.0,0.0
1707544800000,2024-02-10 06:00:00,ZRX/USD,0.32353,0.32353,0.32353,0.32353,0.0,0.0
1707541200000,2024-02-10 05:00:00,ZRX/USD,0.32353,0.32353,0.32353,0.32353,0.0,0.0
1707537600000,2024-02-10 04:00:00,ZRX/USD,0.3252,0.3252,0.32353,0.32353,5183.945132,1677.16176855596
1707534000000,2024-02-10 03:00:00,ZRX/USD,0.3243,0.3252,0.3243,0.3252,9047.854004,2942.3621221008
1707530400000,2024-02-10 02:00:00,ZRX/USD,0.32458,0.32487,0.3243,0.3243,1368.715471,443.87442724529996
1707526800000,2024-02-10 01:00:00,ZRX/USD,0.32325,0.32458,0.32325,0.32458,294.585095,95.6164301351
1707523200000,2024-02-10 00:00:00,ZRX/USD,0.32224,0.32379,0.32224,0.32325,3092.0,999.4889999999999
