https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USD
1707778800000,2024-02-12 23:00:00,BAT/USD,0.2313,0.2313,0.23048,0.23048,1760.778952,405.82433285696
1707775200000,2024-02-12 22:00:00,BAT/USD,0.23197,0.23956,0.23095,0.2313,844.063356,195.2318542428
1707771600000,2024-02-12 21:00:00,BAT/USD,0.235,0.23501,0.23048,0.23197,551.402415,127.90881820755001
1707768000000,2024-02-12 20:00:00,BAT/USD,0.23645,0.23646,0.235,0.235,93.764958,22.034765129999997
1707764400000,2024-02-12 19:00:00,BAT/USD,0.23645,0.23645,0.23645,0.23645,0.0,0.0
1707760800000,2024-02-12 18:00:00,BAT/USD,0.23106,0.23952,0.23069,0.23645,2431.963123,575.03768043335
1707757200000,2024-02-12 17:00:00,BAT/USD,0.23085,0.23107,0.23085,0.23106,116.4548,26.908046088
1707753600000,2024-02-12 16:00:00,BAT/USD,0.23413,0.23957,0.23085,0.23085,278.506607,64.29325022594999
1707750000000,2024-02-12 15:00:00,BAT/USD,0.22627,0.2396,0.22627,0.23413,3250.775737,761.10412330381
1707746400000,2024-02-12 14:00:00,BAT/USD,0.23459,0.23459,0.22627,0.22627,62.15576,14.0639838152
1707742800000,2024-02-12 13:00:00,BAT/USD,0.22513,0.23459,0.22513,0.23459,104.782586,24.58094684974
1707739200000,2024-02-12 12:00:00,BAT/USD,0.22766,0.23406,0.22452,0.22513,127.246686,28.64704641918
1707735600000,2024-02-12 11:00:00,BAT/USD,0.22917,0.22917,0.2245,0.22766,1629.852177,371.05214661582
1707732000000,2024-02-12 10:00:00,BAT/USD,0.23337,0.23606,0.22917,0.22917,864.823996,198.19171516332
1707728400000,2024-02-12 09:00:00,BAT/USD,0.2371,0.2371,0.23337,0.23337,672.180197,156.86669257389
1707724800000,2024-02-12 08:00:00,BAT/USD,0.23337,0.2371,0.2297,0.2371,1320.355297,313.05624091870004
1707721200000,2024-02-12 07:00:00,BAT/USD,0.23337,0.2371,0.23337,0.23337,15458.094312,3607.45546959144
1707717600000,2024-02-12 06:00:00,BAT/USD,0.22474,0.23921,0.22474,0.23337,4801.388118,1120.49994509766
1707714000000,2024-02-12 05:00:00,BAT/USD,0.22474,0.22474,0.22474,0.22474,0.0,0.0
1707710400000,2024-02-12 04:00:00,BAT/USD,0.22474,0.22474,0.22474,0.22474,0.0,0.0
1707706800000,2024-02-12 03:00:00,BAT/USD,0.2235,0.22474,0.2235,0.22474,73.80652,16.5872773048
1707703200000,2024-02-12 02:00:00,BAT/USD,0.22342,0.23,0.22292,0.2235,2619.045205,585.3566033175
1707699600000,2024-02-12 01:00:00,BAT/USD,0.22341,0.22342,0.22341,0.22342,361.842176,80.84277896192
1707696000000,2024-02-12 00:00:00,BAT/USD,0.22341,0.22341,0.22341,0.22341,52.7023,11.774220843
1707692400000,2024-02-11 23:00:00,BAT/USD,0.22532,0.22532,0.22281,0.22341,99.50452,22.2303048132
1707688800000,2024-02-11 22:00:00,BAT/USD,0.22784,0.22784,0.22267,0.22532,85.32501,19.2254312532
1707685200000,2024-02-11 21:00:00,BAT/USD,0.22784,0.22784,0.22784,0.22784,0.0,0.0
1707681600000,2024-02-11 20:00:00,BAT/USD,0.22676,0.22784,0.22261,0.22784,85.020197,19.37100168448
1707678000000,2024-02-11 19:00:00,BAT/USD,0.22722,0.22722,0.22271,0.22676,1074.040415,243.54940450539996
1707674400000,2024-02-11 18:00:00,BAT/USD,0.22722,0.23135,0.22721,0.22722,121.999,27.72061278
1707670800000,2024-02-11 17:00:00,BAT/USD,0.22722,0.22784,0.22722,0.22722,109.482,24.87650004
1707667200000,2024-02-11 16:00:00,BAT/USD,0.22722,0.22722,0.22722,0.22722,104.515968,23.74811824896
1707663600000,2024-02-11 15:00:00,BAT/USD,0.22722,0.22722,0.22722,0.22722,0.0,0.0
1707660000000,2024-02-11 14:00:00,BAT/USD,0.22984,0.22984,0.22722,0.22722,1312.635505,298.2570394461
1707656400000,2024-02-11 13:00:00,BAT/USD,0.23136,0.23136,0.22984,0.22984,155.571548,35.75656459232
1707652800000,2024-02-11 12:00:00,BAT/USD,0.23136,0.23136,0.23136,0.23136,0.0,0.0
1707649200000,2024-02-11 11:00:00,BAT/USD,0.23381,0.23381,0.23136,0.23136,24.730275,5.721596424
1707645600000,2024-02-11 10:00:00,BAT/USD,0.23588,0.23588,0.2323,0.23381,171.879462,40.18713701022
1707642000000,2024-02-11 09:00:00,BAT/USD,0.23619,0.23619,0.2323,0.23588,311.471568,73.46991345984
