https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KNC,Volume USD
1707087600000,2024-02-04 23:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707084000000,2024-02-04 22:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707080400000,2024-02-04 21:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707076800000,2024-02-04 20:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707073200000,2024-02-04 19:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707069600000,2024-02-04 18:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707066000000,2024-02-04 17:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707062400000,2024-02-04 16:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707058800000,2024-02-04 15:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707055200000,2024-02-04 14:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707051600000,2024-02-04 13:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707048000000,2024-02-04 12:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707044400000,2024-02-04 11:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707040800000,2024-02-04 10:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707037200000,2024-02-04 09:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707033600000,2024-02-04 08:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707030000000,2024-02-04 07:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707026400000,2024-02-04 06:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707022800000,2024-02-04 05:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707019200000,2024-02-04 04:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707015600000,2024-02-04 03:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707012000000,2024-02-04 02:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707008400000,2024-02-04 01:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707004800000,2024-02-04 00:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1707001200000,2024-02-03 23:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706997600000,2024-02-03 22:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706994000000,2024-02-03 21:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706990400000,2024-02-03 20:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706986800000,2024-02-03 19:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706983200000,2024-02-03 18:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706979600000,2024-02-03 17:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706976000000,2024-02-03 16:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706972400000,2024-02-03 15:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706968800000,2024-02-03 14:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706965200000,2024-02-03 13:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706961600000,2024-02-03 12:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706958000000,2024-02-03 11:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706954400000,2024-02-03 10:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706950800000,2024-02-03 09:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706947200000,2024-02-03 08:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
1706943600000,2024-02-03 07:00:00,KNC/USD,0.47368,0.47368,0.47368,0.47368,0,0.0
