https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume USD
1707778800000,2024-02-12 23:00:00,YFI/USD,7643.82,7643.82,7636.1,7639.2,0.028715,219.35962800000001
1707775200000,2024-02-12 22:00:00,YFI/USD,7629.56,7643.82,7629.56,7643.82,0.003048,23.29836336
1707771600000,2024-02-12 21:00:00,YFI/USD,7608.67,7650.77,7597.51,7629.56,0.029433,224.56083948000003
1707768000000,2024-02-12 20:00:00,YFI/USD,7555.95,7608.67,7555.95,7608.67,0.004795,36.48357265
1707764400000,2024-02-12 19:00:00,YFI/USD,7575.01,7597.16,7555.95,7555.95,0.047746,360.7663887
1707760800000,2024-02-12 18:00:00,YFI/USD,7550.0,7581.55,7546.97,7575.01,0.196003,1484.72468503
1707757200000,2024-02-12 17:00:00,YFI/USD,7489.44,7550.0,7486.44,7550.0,1.278963,9656.17065
1707753600000,2024-02-12 16:00:00,YFI/USD,7460.0,7500.0,7460.0,7489.44,0.644594,4827.648087359999
1707750000000,2024-02-12 15:00:00,YFI/USD,7410.32,7460.0,7402.97,7460.0,2.969942,22155.76732
1707746400000,2024-02-12 14:00:00,YFI/USD,7419.15,7419.15,7322.63,7410.32,0.154337,1143.68655784
1707742800000,2024-02-12 13:00:00,YFI/USD,7419.15,7419.15,7419.15,7419.15,0.0,0.0
1707739200000,2024-02-12 12:00:00,YFI/USD,7376.36,7523.0,7376.36,7419.15,0.035157,260.83505655
1707735600000,2024-02-12 11:00:00,YFI/USD,7376.36,7376.36,7376.36,7376.36,0.0,0.0
1707732000000,2024-02-12 10:00:00,YFI/USD,7376.36,7376.36,7376.36,7376.36,0.0,0.0
1707728400000,2024-02-12 09:00:00,YFI/USD,7376.36,7376.36,7376.36,7376.36,0.0,0.0
1707724800000,2024-02-12 08:00:00,YFI/USD,7376.36,7376.36,7376.36,7376.36,0.0,0.0
1707721200000,2024-02-12 07:00:00,YFI/USD,7350.0,7450.19,7350.0,7376.36,0.001745,12.871748199999999
1707717600000,2024-02-12 06:00:00,YFI/USD,7354.6,7354.6,7350.0,7350.0,0.000297,2.18295
1707714000000,2024-02-12 05:00:00,YFI/USD,7354.6,7354.6,7354.6,7354.6,0.0,0.0
1707710400000,2024-02-12 04:00:00,YFI/USD,7354.6,7354.6,7354.6,7354.6,0.0,0.0
1707706800000,2024-02-12 03:00:00,YFI/USD,7354.6,7354.6,7354.6,7354.6,0.0,0.0
1707703200000,2024-02-12 02:00:00,YFI/USD,7515.59,7515.59,7354.6,7354.6,0.017841,131.2134186
1707699600000,2024-02-12 01:00:00,YFI/USD,7515.59,7515.59,7515.59,7515.59,0.0,0.0
1707696000000,2024-02-12 00:00:00,YFI/USD,7382.72,7515.59,7382.72,7515.59,0.00437,32.8431283
1707692400000,2024-02-11 23:00:00,YFI/USD,7514.47,7514.47,7382.72,7382.72,0.003992,29.47181824
1707688800000,2024-02-11 22:00:00,YFI/USD,7357.44,7514.47,7357.44,7514.47,0.003113,23.39254511
1707685200000,2024-02-11 21:00:00,YFI/USD,7357.44,7357.44,7357.44,7357.44,0.0,0.0
1707681600000,2024-02-11 20:00:00,YFI/USD,7396.96,7422.9,7357.44,7357.44,0.052581,386.86155264
1707678000000,2024-02-11 19:00:00,YFI/USD,7407.12,7407.12,7389.95,7396.96,0.1625,1202.006
1707674400000,2024-02-11 18:00:00,YFI/USD,7397.61,7523.0,7397.61,7407.12,0.433417,3210.37172904
1707670800000,2024-02-11 17:00:00,YFI/USD,7369.45,7402.59,7369.45,7397.61,0.26012,1924.2663132
1707667200000,2024-02-11 16:00:00,YFI/USD,7354.61,7385.56,7354.61,7369.45,0.01938,142.819941
1707663600000,2024-02-11 15:00:00,YFI/USD,7397.34,7397.34,7354.61,7354.61,0.008,58.83688
1707660000000,2024-02-11 14:00:00,YFI/USD,7515.59,7515.59,7397.34,7397.34,0.000451,3.33620034
1707656400000,2024-02-11 13:00:00,YFI/USD,7471.26,7515.59,7471.26,7515.59,0.006626,49.79829934
1707652800000,2024-02-11 12:00:00,YFI/USD,7471.26,7471.26,7471.26,7471.26,0.0,0.0
