https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1707778800000,2024-02-12 23:00:00,LINK/USD,20.7,20.7,20.42844,20.56979,2913.087054,59921.58895249866
1707775200000,2024-02-12 22:00:00,LINK/USD,20.61748,20.76746,20.56099,20.7,3476.508176,71963.7192432
1707771600000,2024-02-12 21:00:00,LINK/USD,20.71788,20.7266,20.568,20.61748,1795.780917,37024.47714062916
1707768000000,2024-02-12 20:00:00,LINK/USD,20.64434,20.71788,20.58421,20.71788,1920.416755,39786.9638800794
1707764400000,2024-02-12 19:00:00,LINK/USD,20.76599,20.8396,20.64434,20.64434,243.987944,5036.9700718369595
1707760800000,2024-02-12 18:00:00,LINK/USD,20.69325,20.76748,20.561,20.76599,610.929108,12686.54774743692
1707757200000,2024-02-12 17:00:00,LINK/USD,20.36,20.8282,20.33348,20.69325,8718.270682,180409.3547902965
1707753600000,2024-02-12 16:00:00,LINK/USD,20.3,20.42,20.18814,20.36,1103.093292,22458.97942512
1707750000000,2024-02-12 15:00:00,LINK/USD,20.17799,20.42,20.11461,20.3,1485.607644,30157.8351732
1707746400000,2024-02-12 14:00:00,LINK/USD,20.2621,20.325,19.93422,20.17799,1787.427596,36066.69615781204
1707742800000,2024-02-12 13:00:00,LINK/USD,20.25371,20.32537,20.1916,20.2621,740.700395,15008.1454735295
1707739200000,2024-02-12 12:00:00,LINK/USD,20.38,20.5531,20.24871,20.25371,757.311265,15338.362741043153
1707735600000,2024-02-12 11:00:00,LINK/USD,20.38,20.38,20.33072,20.38,300.798465,6130.2727167
1707732000000,2024-02-12 10:00:00,LINK/USD,20.046,20.39396,20.046,20.38,393.368882,8016.8578151599995
1707728400000,2024-02-12 09:00:00,LINK/USD,20.1977,20.2381,19.98631,20.046,1056.876061,21186.137518805997
1707724800000,2024-02-12 08:00:00,LINK/USD,20.18814,20.2713,20.18814,20.1977,133.930414,2705.0863228478006
1707721200000,2024-02-12 07:00:00,LINK/USD,20.22841,20.3874,20.18814,20.18814,1001.206065,20212.4882090691
1707717600000,2024-02-12 06:00:00,LINK/USD,20.0328,20.22841,20.0328,20.22841,211.437956,4277.05366352996
1707714000000,2024-02-12 05:00:00,LINK/USD,20.0252,20.0614,20.00828,20.0328,92.535798,1853.7511341744002
1707710400000,2024-02-12 04:00:00,LINK/USD,20.0254,20.0623,19.90082,20.0252,778.900924,15597.646783284801
1707706800000,2024-02-12 03:00:00,LINK/USD,19.8396,20.0542,19.75848,20.0254,1590.84831,31857.373747074005
