https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1707778800000,2024-02-12 23:00:00,MATIC/USD,0.88453,0.88453,0.87847,0.87886,16471.456627,14476.10437120522
1707775200000,2024-02-12 22:00:00,MATIC/USD,0.87887,0.88453,0.87768,0.88453,12582.330341,11129.448656524732
1707771600000,2024-02-12 21:00:00,MATIC/USD,0.87862,0.88495,0.87606,0.87887,18224.08924,16016.605310358802
1707768000000,2024-02-12 20:00:00,MATIC/USD,0.86822,0.87862,0.86822,0.87862,23607.921858,20742.39230287596
1707764400000,2024-02-12 19:00:00,MATIC/USD,0.87236,0.87819,0.86817,0.86822,21827.838372,18951.36583133784
1707760800000,2024-02-12 18:00:00,MATIC/USD,0.87,0.8757,0.86843,0.87236,26421.302918,23048.88781354648
1707757200000,2024-02-12 17:00:00,MATIC/USD,0.86237,0.87,0.86237,0.87,19084.063056,16603.134858719997
1707753600000,2024-02-12 16:00:00,MATIC/USD,0.86094,0.86269,0.85557,0.86237,16503.338308,14231.983856669958
1707750000000,2024-02-12 15:00:00,MATIC/USD,0.84894,0.86094,0.8463,0.86094,7546.396353,6496.99447615182
1707746400000,2024-02-12 14:00:00,MATIC/USD,0.83036,0.84894,0.82958,0.84894,4481.914955,3804.8768818977005
1707742800000,2024-02-12 13:00:00,MATIC/USD,0.82459,0.83036,0.82411,0.83036,12371.268818,10272.606775714481
1707739200000,2024-02-12 12:00:00,MATIC/USD,0.82663,0.82663,0.82293,0.82459,1890.092015,1558.5509746488501
1707735600000,2024-02-12 11:00:00,MATIC/USD,0.82163,0.82663,0.81857,0.82663,2778.636758,2296.90450326554
1707732000000,2024-02-12 10:00:00,MATIC/USD,0.8263,0.8263,0.82163,0.82163,312.829954,257.03047510502
1707728400000,2024-02-12 09:00:00,MATIC/USD,0.83,0.83,0.8263,0.8263,6107.917374,5046.9721261362
1707724800000,2024-02-12 08:00:00,MATIC/USD,0.83208,0.83208,0.83,0.83,12.036144,9.98999952
1707721200000,2024-02-12 07:00:00,MATIC/USD,0.8214,0.83208,0.8214,0.83208,1698.000766,1412.8724773732802
1707717600000,2024-02-12 06:00:00,MATIC/USD,0.83116,0.83141,0.8214,0.8214,13199.999386,10842.4794956604
1707714000000,2024-02-12 05:00:00,MATIC/USD,0.83019,0.83286,0.83019,0.83116,3066.103612,2548.42267814992
1707710400000,2024-02-12 04:00:00,MATIC/USD,0.83223,0.83371,0.83019,0.83019,1380.4491,1146.035038329
