https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAL,Volume USD
1707087600000,2024-02-04 23:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707084000000,2024-02-04 22:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707080400000,2024-02-04 21:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707076800000,2024-02-04 20:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707073200000,2024-02-04 19:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707069600000,2024-02-04 18:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707066000000,2024-02-04 17:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707062400000,2024-02-04 16:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707058800000,2024-02-04 15:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707055200000,2024-02-04 14:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707051600000,2024-02-04 13:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707048000000,2024-02-04 12:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707044400000,2024-02-04 11:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707040800000,2024-02-04 10:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707037200000,2024-02-04 09:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707033600000,2024-02-04 08:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707030000000,2024-02-04 07:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707026400000,2024-02-04 06:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707022800000,2024-02-04 05:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707019200000,2024-02-04 04:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707015600000,2024-02-04 03:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707012000000,2024-02-04 02:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707008400000,2024-02-04 01:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707004800000,2024-02-04 00:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1707001200000,2024-02-03 23:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706997600000,2024-02-03 22:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706994000000,2024-02-03 21:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706990400000,2024-02-03 20:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706986800000,2024-02-03 19:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706983200000,2024-02-03 18:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706979600000,2024-02-03 17:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706976000000,2024-02-03 16:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706972400000,2024-02-03 15:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706968800000,2024-02-03 14:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706965200000,2024-02-03 13:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706961600000,2024-02-03 12:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706958000000,2024-02-03 11:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706954400000,2024-02-03 10:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706950800000,2024-02-03 09:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706947200000,2024-02-03 08:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706943600000,2024-02-03 07:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706940000000,2024-02-03 06:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706936400000,2024-02-03 05:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706932800000,2024-02-03 04:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706929200000,2024-02-03 03:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706925600000,2024-02-03 02:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706922000000,2024-02-03 01:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706918400000,2024-02-03 00:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706914800000,2024-02-02 23:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706911200000,2024-02-02 22:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706907600000,2024-02-02 21:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706904000000,2024-02-02 20:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706900400000,2024-02-02 19:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706896800000,2024-02-02 18:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706893200000,2024-02-02 17:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706889600000,2024-02-02 16:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706886000000,2024-02-02 15:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706882400000,2024-02-02 14:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706878800000,2024-02-02 13:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706875200000,2024-02-02 12:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706871600000,2024-02-02 11:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706868000000,2024-02-02 10:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706864400000,2024-02-02 09:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706860800000,2024-02-02 08:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706857200000,2024-02-02 07:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706853600000,2024-02-02 06:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706850000000,2024-02-02 05:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706846400000,2024-02-02 04:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706842800000,2024-02-02 03:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706839200000,2024-02-02 02:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706835600000,2024-02-02 01:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706832000000,2024-02-02 00:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706828400000,2024-02-01 23:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706824800000,2024-02-01 22:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706821200000,2024-02-01 21:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706817600000,2024-02-01 20:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706814000000,2024-02-01 19:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706810400000,2024-02-01 18:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706806800000,2024-02-01 17:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706803200000,2024-02-01 16:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706799600000,2024-02-01 15:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706796000000,2024-02-01 14:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706792400000,2024-02-01 13:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706788800000,2024-02-01 12:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706785200000,2024-02-01 11:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706781600000,2024-02-01 10:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706778000000,2024-02-01 09:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706774400000,2024-02-01 08:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706770800000,2024-02-01 07:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706767200000,2024-02-01 06:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706763600000,2024-02-01 05:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706760000000,2024-02-01 04:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706756400000,2024-02-01 03:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706752800000,2024-02-01 02:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706749200000,2024-02-01 01:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706745600000,2024-02-01 00:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706742000000,2024-01-31 23:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706738400000,2024-01-31 22:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706734800000,2024-01-31 21:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706731200000,2024-01-31 20:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706727600000,2024-01-31 19:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706724000000,2024-01-31 18:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706720400000,2024-01-31 17:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706716800000,2024-01-31 16:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706713200000,2024-01-31 15:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706709600000,2024-01-31 14:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706706000000,2024-01-31 13:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706702400000,2024-01-31 12:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706698800000,2024-01-31 11:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706695200000,2024-01-31 10:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706691600000,2024-01-31 09:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706688000000,2024-01-31 08:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706684400000,2024-01-31 07:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706680800000,2024-01-31 06:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706677200000,2024-01-31 05:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706673600000,2024-01-31 04:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706670000000,2024-01-31 03:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706666400000,2024-01-31 02:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706662800000,2024-01-31 01:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706659200000,2024-01-31 00:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706655600000,2024-01-30 23:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706652000000,2024-01-30 22:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706648400000,2024-01-30 21:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706644800000,2024-01-30 20:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706641200000,2024-01-30 19:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706637600000,2024-01-30 18:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706634000000,2024-01-30 17:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706630400000,2024-01-30 16:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706626800000,2024-01-30 15:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706623200000,2024-01-30 14:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706619600000,2024-01-30 13:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706616000000,2024-01-30 12:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706612400000,2024-01-30 11:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706608800000,2024-01-30 10:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706605200000,2024-01-30 09:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706601600000,2024-01-30 08:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
1706598000000,2024-01-30 07:00:00,BAL/USD,4.3,4.3,4.3,4.3,0,0.0
