https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USD
1707778800000,2024-02-12 23:00:00,LRC/USD,0.23903,0.24072,0.23903,0.24072,686.214001,165.18543432072
1707775200000,2024-02-12 22:00:00,LRC/USD,0.24161,0.24161,0.23903,0.23903,7929.426695,1895.37086290585
1707771600000,2024-02-12 21:00:00,LRC/USD,0.24053,0.24161,0.24053,0.24161,17.368634,4.19643566074
1707768000000,2024-02-12 20:00:00,LRC/USD,0.24053,0.24053,0.24053,0.24053,0.0,0.0
1707764400000,2024-02-12 19:00:00,LRC/USD,0.24292,0.24669,0.24053,0.24053,6254.12565,1504.3048425944999
1707760800000,2024-02-12 18:00:00,LRC/USD,0.243,0.243,0.24292,0.24292,215.502783,52.34993604636
1707757200000,2024-02-12 17:00:00,LRC/USD,0.24299,0.24517,0.24299,0.243,2136.976981,519.2854063829999
1707753600000,2024-02-12 16:00:00,LRC/USD,0.24059,0.24474,0.24059,0.24299,2529.551602,614.6557437699801
1707750000000,2024-02-12 15:00:00,LRC/USD,0.23404,0.24059,0.23404,0.24059,3056.174166,735.2849425979399
1707746400000,2024-02-12 14:00:00,LRC/USD,0.23898,0.23999,0.23404,0.23404,1493.503985,349.5396726494
1707742800000,2024-02-12 13:00:00,LRC/USD,0.2346,0.23898,0.2346,0.23898,20.838897,4.980079605059999
1707739200000,2024-02-12 12:00:00,LRC/USD,0.2346,0.2346,0.2346,0.2346,0.0,0.0
1707735600000,2024-02-12 11:00:00,LRC/USD,0.23579,0.23579,0.2346,0.2346,1130.540239,265.2247400694
1707732000000,2024-02-12 10:00:00,LRC/USD,0.23579,0.23579,0.23579,0.23579,0.0,0.0
1707728400000,2024-02-12 09:00:00,LRC/USD,0.23676,0.23676,0.23579,0.23579,286.497853,67.55332875887001
1707724800000,2024-02-12 08:00:00,LRC/USD,0.23676,0.23676,0.23676,0.23676,0.0,0.0
1707721200000,2024-02-12 07:00:00,LRC/USD,0.23676,0.23676,0.23676,0.23676,0.0,0.0
1707717600000,2024-02-12 06:00:00,LRC/USD,0.23476,0.23676,0.23476,0.23676,42.23752,10.000155235200001
1707714000000,2024-02-12 05:00:00,LRC/USD,0.23476,0.23476,0.23476,0.23476,0.0,0.0
1707710400000,2024-02-12 04:00:00,LRC/USD,0.23476,0.23476,0.23476,0.23476,0.0,0.0
1707706800000,2024-02-12 03:00:00,LRC/USD,0.23476,0.23476,0.23476,0.23476,0.0,0.0
1707703200000,2024-02-12 02:00:00,LRC/USD,0.23476,0.23476,0.23476,0.23476,0.0,0.0
1707699600000,2024-02-12 01:00:00,LRC/USD,0.23476,0.23476,0.23476,0.23476,0.0,0.0
1707696000000,2024-02-12 00:00:00,LRC/USD,0.23474,0.23476,0.23474,0.23476,0.98,0.23006479999999999
1707692400000,2024-02-11 23:00:00,LRC/USD,0.23474,0.23474,0.23474,0.23474,0.0,0.0
1707688800000,2024-02-11 22:00:00,LRC/USD,0.24035,0.24035,0.23461,0.23474,4392.45,1031.083713
1707685200000,2024-02-11 21:00:00,LRC/USD,0.2374,0.24124,0.2374,0.24035,67.423993,16.20535671755
1707681600000,2024-02-11 20:00:00,LRC/USD,0.23799,0.23799,0.2374,0.2374,4712.525434,1118.7535380316
1707678000000,2024-02-11 19:00:00,LRC/USD,0.23798,0.23799,0.23798,0.23799,635.081295,151.14299739704998
1707674400000,2024-02-11 18:00:00,LRC/USD,0.23798,0.23798,0.23798,0.23798,0.0,0.0
1707670800000,2024-02-11 17:00:00,LRC/USD,0.24348,0.24348,0.23798,0.23798,2305.737089,548.71931244022
1707667200000,2024-02-11 16:00:00,LRC/USD,0.23796,0.24348,0.23796,0.24348,696.593096,169.60648701408
1707663600000,2024-02-11 15:00:00,LRC/USD,0.23796,0.23796,0.23796,0.23796,0.0,0.0
1707660000000,2024-02-11 14:00:00,LRC/USD,0.23796,0.23796,0.23796,0.23796,0.0,0.0
1707656400000,2024-02-11 13:00:00,LRC/USD,0.23796,0.23796,0.23796,0.23796,0.0,0.0
1707652800000,2024-02-11 12:00:00,LRC/USD,0.24059,0.24169,0.23796,0.23796,4271.706769,1016.4953427512401
1707649200000,2024-02-11 11:00:00,LRC/USD,0.24059,0.24059,0.24059,0.24059,0.0,0.0
1707645600000,2024-02-11 10:00:00,LRC/USD,0.2424,0.2424,0.24059,0.24059,61.416956,14.77630544404
1707642000000,2024-02-11 09:00:00,LRC/USD,0.2424,0.2424,0.2424,0.2424,0.0,0.0
1707638400000,2024-02-11 08:00:00,LRC/USD,0.24159,0.2424,0.2411,0.2424,938.525071,227.4984772104
1707634800000,2024-02-11 07:00:00,LRC/USD,0.24142,0.24159,0.24142,0.24159,738.930487,178.51821635432998
1707631200000,2024-02-11 06:00:00,LRC/USD,0.23707,0.24142,0.23707,0.24142,23.115183,5.580467479859999
1707627600000,2024-02-11 05:00:00,LRC/USD,0.23707,0.23707,0.23707,0.23707,0.0,0.0
1707624000000,2024-02-11 04:00:00,LRC/USD,0.23686,0.23707,0.23686,0.23707,2372.553296,562.46120988272
1707620400000,2024-02-11 03:00:00,LRC/USD,0.23686,0.23686,0.23686,0.23686,0.0,0.0
1707616800000,2024-02-11 02:00:00,LRC/USD,0.23686,0.23686,0.23686,0.23686,0.0,0.0
1707613200000,2024-02-11 01:00:00,LRC/USD,0.2355,0.24142,0.2355,0.23686,148.415992,35.15381186512
1707609600000,2024-02-11 00:00:00,LRC/USD,0.23679,0.23679,0.2355,0.2355,822.686351,193.74263566049999
1707606000000,2024-02-10 23:00:00,LRC/USD,0.23679,0.23679,0.23679,0.23679,0.0,0.0
1707602400000,2024-02-10 22:00:00,LRC/USD,0.241,0.241,0.23679,0.23679,975.816212,231.06352083948
1707598800000,2024-02-10 21:00:00,LRC/USD,0.24098,0.241,0.24098,0.241,506.243006,122.00456444599999
1707595200000,2024-02-10 20:00:00,LRC/USD,0.23318,0.24098,0.23318,0.24098,985.767918,237.55035287964
1707591600000,2024-02-10 19:00:00,LRC/USD,0.23318,0.23318,0.23318,0.23318,0.0,0.0
1707588000000,2024-02-10 18:00:00,LRC/USD,0.23318,0.23318,0.23318,0.23318,0.0,0.0
1707584400000,2024-02-10 17:00:00,LRC/USD,0.2319,0.23704,0.2319,0.23318,380.228351,88.66164688618
1707580800000,2024-02-10 16:00:00,LRC/USD,0.23408,0.23408,0.2319,0.2319,1442.770043,334.5783729717
1707577200000,2024-02-10 15:00:00,LRC/USD,0.23408,0.23408,0.23408,0.23408,0.0,0.0
1707573600000,2024-02-10 14:00:00,LRC/USD,0.23309,0.23408,0.23309,0.23408,887.546775,207.756949092
1707570000000,2024-02-10 13:00:00,LRC/USD,0.2388,0.2388,0.23309,0.23309,569.237918,132.68366630662
1707566400000,2024-02-10 12:00:00,LRC/USD,0.2388,0.2388,0.2388,0.2388,0.0,0.0
1707562800000,2024-02-10 11:00:00,LRC/USD,0.23496,0.2388,0.23496,0.2388,66.996064,15.998660083200003
1707559200000,2024-02-10 10:00:00,LRC/USD,0.24093,0.24093,0.23496,0.23496,234.853479,55.18117342584
1707555600000,2024-02-10 09:00:00,LRC/USD,0.24093,0.24093,0.24093,0.24093,0.0,0.0
1707552000000,2024-02-10 08:00:00,LRC/USD,0.24093,0.24093,0.24093,0.24093,0.0,0.0
1707548400000,2024-02-10 07:00:00,LRC/USD,0.24093,0.24093,0.24093,0.24093,0.0,0.0
1707544800000,2024-02-10 06:00:00,LRC/USD,0.24096,0.24096,0.24093,0.24093,1.1,0.265023
1707541200000,2024-02-10 05:00:00,LRC/USD,0.23743,0.24096,0.23743,0.24096,5.94599,1.4327457504
1707537600000,2024-02-10 04:00:00,LRC/USD,0.23685,0.23743,0.23685,0.23743,36.358856,8.63268318008
1707534000000,2024-02-10 03:00:00,LRC/USD,0.23685,0.23685,0.23685,0.23685,0.0,0.0
1707530400000,2024-02-10 02:00:00,LRC/USD,0.23663,0.23685,0.23663,0.23685,2052.277946,486.0820315101
1707526800000,2024-02-10 01:00:00,LRC/USD,0.24089,0.24089,0.23663,0.23663,72.643262,17.18957508706
1707523200000,2024-02-10 00:00:00,LRC/USD,0.24089,0.24089,0.24089,0.24089,0.0,0.0
1707519600000,2024-02-09 23:00:00,LRC/USD,0.24087,0.24089,0.24087,0.24089,1627.509292,392.05071334987997
1707516000000,2024-02-09 22:00:00,LRC/USD,0.2393,0.24087,0.2393,0.24087,2071.746212,499.02151008444
1707512400000,2024-02-09 21:00:00,LRC/USD,0.2393,0.2393,0.2393,0.2393,0.0,0.0
1707508800000,2024-02-09 20:00:00,LRC/USD,0.23525,0.24059,0.23313,0.2393,728.958542,174.4397791006
1707505200000,2024-02-09 19:00:00,LRC/USD,0.23525,0.23525,0.23525,0.23525,0.0,0.0
1707501600000,2024-02-09 18:00:00,LRC/USD,0.23905,0.23905,0.23525,0.23525,365.669634,86.02378139849999
1707498000000,2024-02-09 17:00:00,LRC/USD,0.24089,0.24089,0.23905,0.23905,10.877078,2.6001654959
1707494400000,2024-02-09 16:00:00,LRC/USD,0.24099,0.24099,0.24087,0.24089,555.667963,133.85485560707
1707490800000,2024-02-09 15:00:00,LRC/USD,0.24095,0.24099,0.24095,0.24099,12.44865,3.0000001635
1707487200000,2024-02-09 14:00:00,LRC/USD,0.24095,0.24095,0.24095,0.24095,0.0,0.0
1707483600000,2024-02-09 13:00:00,LRC/USD,0.24095,0.24095,0.24089,0.24095,2067.099895,498.06771970024994
1707480000000,2024-02-09 12:00:00,LRC/USD,0.24092,0.241,0.24092,0.24095,2388.165635,575.42850975325
1707476400000,2024-02-09 11:00:00,LRC/USD,0.23704,0.24092,0.23704,0.24092,1833.99696,441.84654760319995
1707472800000,2024-02-09 10:00:00,LRC/USD,0.23036,0.23704,0.23036,0.23704,501.61218,118.9021511472
1707469200000,2024-02-09 09:00:00,LRC/USD,0.23036,0.23036,0.23036,0.23036,0.0,0.0
1707465600000,2024-02-09 08:00:00,LRC/USD,0.23036,0.23036,0.23036,0.23036,0.0,0.0
1707462000000,2024-02-09 07:00:00,LRC/USD,0.23036,0.23036,0.23036,0.23036,0.0,0.0
1707458400000,2024-02-09 06:00:00,LRC/USD,0.23036,0.23036,0.23036,0.23036,0.0,0.0
1707454800000,2024-02-09 05:00:00,LRC/USD,0.23036,0.23036,0.23036,0.23036,0.0,0.0
1707451200000,2024-02-09 04:00:00,LRC/USD,0.23354,0.23464,0.23036,0.23036,594.427929,136.93241772444
1707447600000,2024-02-09 03:00:00,LRC/USD,0.23352,0.23354,0.23352,0.23354,468.134673,109.32817153242
1707444000000,2024-02-09 02:00:00,LRC/USD,0.23343,0.23352,0.23343,0.23352,428.393951,100.03855543752
1707440400000,2024-02-09 01:00:00,LRC/USD,0.23256,0.23343,0.23256,0.23343,20.502983,4.78601132169
1707436800000,2024-02-09 00:00:00,LRC/USD,0.23256,0.23256,0.23256,0.23256,0.0,0.0
1707433200000,2024-02-08 23:00:00,LRC/USD,0.23256,0.23256,0.23256,0.23256,0.0,0.0
1707429600000,2024-02-08 22:00:00,LRC/USD,0.23256,0.23256,0.23256,0.23256,0.0,0.0
1707426000000,2024-02-08 21:00:00,LRC/USD,0.23256,0.23256,0.23256,0.23256,0.0,0.0
1707422400000,2024-02-08 20:00:00,LRC/USD,0.23256,0.23256,0.23256,0.23256,0.0,0.0
1707418800000,2024-02-08 19:00:00,LRC/USD,0.22639,0.23256,0.22639,0.23256,1053.466064,244.99406784383999
1707415200000,2024-02-08 18:00:00,LRC/USD,0.23008,0.23008,0.22639,0.22639,9500.0,2150.705
1707411600000,2024-02-08 17:00:00,LRC/USD,0.23008,0.23008,0.23008,0.23008,0.0,0.0
1707408000000,2024-02-08 16:00:00,LRC/USD,0.23487,0.23487,0.22964,0.23008,10.855641,2.49766588128
1707404400000,2024-02-08 15:00:00,LRC/USD,0.23487,0.23487,0.23487,0.23487,0.0,0.0
1707400800000,2024-02-08 14:00:00,LRC/USD,0.22853,0.23487,0.22853,0.23487,545.615349,128.14867701963001
1707397200000,2024-02-08 13:00:00,LRC/USD,0.22831,0.22855,0.22831,0.22853,613.279817,140.15283657901
1707393600000,2024-02-08 12:00:00,LRC/USD,0.22831,0.23204,0.22831,0.22831,15001.000001,3424.87831022831
1707390000000,2024-02-08 11:00:00,LRC/USD,0.22831,0.22831,0.22831,0.22831,0.0,0.0
1707386400000,2024-02-08 10:00:00,LRC/USD,0.22831,0.22831,0.22831,0.22831,0.0,0.0
1707382800000,2024-02-08 09:00:00,LRC/USD,0.23276,0.23276,0.22831,0.22831,5686.760452,1298.34427879612
1707379200000,2024-02-08 08:00:00,LRC/USD,0.23701,0.23701,0.23276,0.23276,905.613848,210.79067926047998
1707375600000,2024-02-08 07:00:00,LRC/USD,0.23701,0.23701,0.23701,0.23701,0.0,0.0
1707372000000,2024-02-08 06:00:00,LRC/USD,0.23701,0.23701,0.23701,0.23701,827.078085,196.02577692584998
1707368400000,2024-02-08 05:00:00,LRC/USD,0.23242,0.23701,0.23162,0.23701,1417.5518,335.973952118
