time,aave,bal,bat,comp,eth_a,eth_b,eth_c,gno,knc,link,lrc,mana,matic,reth,uni,wbtc_a,wbtc_b,wbtc_c,wsteth_a,wsteth_b,yfi,zrx,gusd,usdc_a,usdc_b,usdp,tusd,psm_usdc,rwa001,rwa002,rwa003,rwa004,rwa005,rwa006,rwa007,rwa008,rwa009,rwa010,rwa011,rwa012,rwa013,rwa014,rwa015
1639065600,0,324418,160951,426446,8778019110,266335556,2384790861,0,0,189444696,0,0,0,0,26929640,2609030126,1395865,18826976,91492867,0,107670801,299120,5427517,238780384,461,65778174,26516059,2934759287,15913500,22495725,2359560,8815730,17199394,0,0,0,0,0,0,0,0,0,0
1639238400,0,308015,152767,406661,8445467889,251072678,2318444478,0,0,178448668,0,0,0,0,25265132,2558592635,1397701,19765589,92218188,0,109643268,160226,5427517,238780384,461,65778174,26516059,2979681072,15913500,22495725,2359560,8815730,17199394,0,0,0,0,0,0,0,0,0,0
1639411200,0,282499,143219,385828,7882427306,235259638,2161695089,0,0,160948099,0,0,0,0,22900587,2469132211,3957928,19412410,89122309,0,99962928,146713,5100183,238780384,461,65778174,26516059,3007228359,15913500,22495725,2359560,8815730,17199394,0,0,0,0,0,0,0,0,0,0
1639584000,0,268121,135035,371068,7637988900,224031000,2197417568,0,0,155643549,0,0,0,0,10274854,2451703942,3803922,19320432,166407479,0,94232091,138991,5100183,237053842,461,65778174,26516059,3008899072,15913500,22495725,2359560,8815730,17199394,0,0,0,0,0,0,0,0,0,0
1639756800,0,323608,156859,390874,8010857562,237655114,2311631491,0,0,166336908,0,0,0,0,10358686,2450717641,3800986,19316216,175293309,0,138209946,146713,5100183,237053842,461,65778174,26516059,3063476945,15913500,22495725,2359560,8815730,17199394,0,0,0,0,0,0,0,0,0,0
1639929600,0,362490,155495,427933,8046846643,242081791,2343482502,0,0,173855029,0,0,0,0,10921307,2588844353,3758383,19476689,139437825,0,154728223,148644,5100183,237053842,461,65778174,26516059,3126163985,15913500,22495725,2359560,8815730,17199394,0,0,0,0,0,0,0,0,0,0
1640102400,0,380311,154131,400966,8156747191,239118771,2388425641,0,0,169349100,0,0,0,0,10665126,2660382230,4683971,20030942,151204460,0,170057837,148644,5100183,237053842,461,65778174,26516059,3193475728,15913500,22495725,2359560,8815730,17199394,0,0,0,0,0,0,0,0,0,0
1640275200,0,381121,170499,480317,8115244411,240629782,2377586606,0,0,187908654,0,0,0,0,12953154,2684042088,4815538,20362342,151698574,0,159115342,166018,5100183,237053842,461,65778174,26516059,3198660161,15913500,22495725,2359560,8815730,17199394,0,0,0,0,0,0,0,0,0,0
1640448000,0,368768,180113,478286,8355200691,247456869,2444111235,0,0,193690250,0,0,0,0,12791583,2770312462,5002968,21159974,150231521,0,151651435,164087,5100183,237053842,461,65778174,26516059,3193063882,15913500,22495725,2359560,8815730,17199394,0,0,0,0,0,0,0,0,0,0
1640620800,0,378893,193758,513796,8386610870,246037594,2449480993,0,0,215036237,0,0,0,0,14529075,2815253898,5084176,21503443,150757692,0,162896413,171809,5100183,237053842,461,65778174,26516059,3182722876,15913500,22495725,2359560,8815730,17199394,0,0,0,0,0,0,0,0,0,0
