https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNO
1707613200000,2024-02-11 01:00:00,GNO/USD,246.0,246.39,246.0,246.39,16.679220752099997,0.06769439
1707609600000,2024-02-11 00:00:00,GNO/USD,244.27,245.24,243.08,244.48,260.08014656,1.0638095
1707602400000,2024-02-10 22:00:00,GNO/USD,245.8,245.8,245.8,245.8,6.304649558,0.02564951
1707598800000,2024-02-10 21:00:00,GNO/USD,246.22,246.32,246.0,246.32,25.577482077600003,0.10383843000000001
1707595200000,2024-02-10 20:00:00,GNO/USD,245.66,245.66,245.66,245.66,8.7172254472,0.03548492
1707588000000,2024-02-10 18:00:00,GNO/USD,245.68,245.75,244.73,245.75,26.2070576975,0.10664113
1707584400000,2024-02-10 17:00:00,GNO/USD,246.27,246.27,245.22,246.03,23.13395487,0.094029
1707580800000,2024-02-10 16:00:00,GNO/USD,246.95,246.95,245.39,245.39,246.1027205316,1.00290444
1707577200000,2024-02-10 15:00:00,GNO/USD,246.11,247.12,246.11,246.95,36.79996793549999,0.14901789
1707573600000,2024-02-10 14:00:00,GNO/USD,247.38,247.38,246.18,246.18,16.729605024,0.0679568
1707570000000,2024-02-10 13:00:00,GNO/USD,247.8,247.8,247.8,247.8,7.6506614520000005,0.03087434
1707566400000,2024-02-10 12:00:00,GNO/USD,246.58,246.82,245.63,245.76,46.9882380288,0.19119563
1707562800000,2024-02-10 11:00:00,GNO/USD,245.87,245.87,245.87,245.87,6.8376766631,0.02781013
1707559200000,2024-02-10 10:00:00,GNO/USD,244.74,245.71,244.47,245.71,26.555887150700002,0.10807817
1707555600000,2024-02-10 09:00:00,GNO/USD,243.6,245.23,243.6,245.23,27.5682219986,0.11241782
1707552000000,2024-02-10 08:00:00,GNO/USD,245.53,245.53,244.89,244.89,12.438692872199999,0.05079298
1707548400000,2024-02-10 07:00:00,GNO/USD,245.93,245.93,245.92,245.92,17.894880313599998,0.07276708
1707544800000,2024-02-10 06:00:00,GNO/USD,246.87,246.87,245.66,246.81,27.000619104000002,0.1093984
1707541200000,2024-02-10 05:00:00,GNO/USD,247.84,247.84,245.57,245.57,28.5635285754,0.11631522
1707537600000,2024-02-10 04:00:00,GNO/USD,247.8,247.8,246.15,246.15,17.376791868,0.07059432
1707534000000,2024-02-10 03:00:00,GNO/USD,248.47,248.47,247.61,248.22,23.99989536,0.096688
1707530400000,2024-02-10 02:00:00,GNO/USD,246.36,248.26,246.36,248.26,25.010688061799996,0.10074393
1707526800000,2024-02-10 01:00:00,GNO/USD,246.87,247.33,245.42,247.33,40.461882097600004,0.16359472
1707523200000,2024-02-10 00:00:00,GNO/USD,246.55,247.12,245.86,245.86,29.812496797200005,0.12125802000000001
1707519600000,2024-02-09 23:00:00,GNO/USD,248.17,248.17,245.93,245.93,38.253263006900006,0.15554533
1707516000000,2024-02-09 22:00:00,GNO/USD,247.69,247.69,246.73,247.69,25.6379832115,0.10350835
1707512400000,2024-02-09 21:00:00,GNO/USD,248.1,248.1,246.95,247.69,23.314341399,0.0941271
1707508800000,2024-02-09 20:00:00,GNO/USD,246.25,247.28,245.27,247.28,575.2277162191999,2.3262201399999998
